precision,recall,f1-score,support
0.78,0.91,0.84,1561.0
0.86,0.77,0.81,648.0
0.9,0.68,0.78,571.0
0.98,0.99,0.99,434.0
0.86,0.94,0.9,620.0
0.98,0.95,0.96,174.0
0.94,0.9,0.92,381.0
0.92,0.74,0.82,1580.0
0.88,0.76,0.81,1334.0
0.82,0.86,0.84,401.0
0.71,0.77,0.74,149.0
0.92,0.89,0.91,932.0
0.78,0.89,0.83,2310.0
0.93,0.98,0.95,175.0
0.96,0.94,0.95,1004.0
0.91,0.87,0.89,428.0
0.86,0.93,0.89,372.0
0.8,0.87,0.83,585.0
0.86,0.86,0.86,0.86
0.88,0.87,0.87,13659.0
0.86,0.86,0.86,13659.0
